,ADEL,ADER,ADFL,ADLL,ADLR,AFDL,AFDR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVG,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,CEPDL,CEPDR,CEPVL,CEPVR,FLPL,FLPR,IL1DL,IL1DR,IL1R,IL1VL,IL1VR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2V4,NSML,NSMR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,URADL,URADR,URAVL,URAVR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIBL,AIBR,AIML,AIMR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,ALA,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVFL,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,I1L,I1R,I2L,I2R,I3,I4,I6,RIAL,RIAR,RIBL,RIBR,RICL,RICR,RIFR,RIGL,RIGR,RIH,RIPL,RIR,RIS,RIVL,RIVR,SAADL,SAADR,SAAVL,SAAVR,SABD,SABVL,SABVR,SIBVR,AS1,DA1,DB2,DD1,M1,M2L,M2R,M3L,M3R,M5,MCL,MCR,MI,RID,RIML,RIMR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMGL,RMGR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,VA1,VB1,VB2
ADEL,0.919628709,0.490586749,0.117401585,-0.011006675,,,0.01694011,0.102773594,0.02962137,-0.079443114,0.096282377,,0.019294448,,-0.008163648,-0.012620571,0.066157095,,-0.008339794,,-0.013860208,-0.035081035,0.084170776,0.172827246,0.048091343,0.036910797,-0.026228242,0.03645057,0.040749755,0.006374848,,,0.034245348,0.049139653,0.014354527,0.479722069,0.134775429,0.061077219,,,-0.003508406,0.046414095,0.012195762,-0.041848548,,-0.016559886,,,-0.059270339,0.088536982,-0.035187683,0.002497254,-0.00316993,-0.003735,,-0.036154275,,,-0.041614976,,-0.020392696,,-0.029724353,0.00744165,,,,,0.226257721,0.01471744,,,-0.060545446,-0.024769454,0.5185011,-0.042761598,0.004035632,0.027707207,0.175625863,0.028179068,-0.027318099,0.02640013,0.007332109,,-0.039569175,0.114808435,0.107286786,-0.001577512,0.0184434,,-0.05058992,-0.019664538,0.18161094,0.022251516,0.314287749,-0.010743349,,-0.023383852,0.031436235,-0.001619998,0.019227843,0.048191776,0.000221667,0.086133066,-0.021093872,,,,0.09494147,,,0.009839702,0.028797637,,,,-0.012047481,0.021727942,0.01934429,0.054317997,,-0.03391401,0.038968138,,0.047770458,,,,,0.108489011,0.033519757,-0.070263109,0.112415858,,0.118232622,0.019242569,0.036597926,0.057001661,,-0.026399078,0.004589023,0.021949621,0.054480782,0.036334773,0.053533151,0.003037326,0.060791571,0.012701952,0.095362738,,0.026167399,-0.010319619,-0.004696311,0.002455899,,,,,,,-0.132958759,-0.017540061,-0.037221381,,,,0.018416573,0.015763427
ADER,0.282736002,0.365723972,-0.089438474,,-0.061269595,3.00E-05,0.117529149,0.980210212,-0.011182996,,0.064382702,-0.007335576,-0.026925844,-0.021169731,0.016700937,-0.016591589,0.069101073,,-0.015025466,,0.008118039,-0.013426726,-0.019984697,0.04589858,0.013553446,0.010244092,0.008085578,0.024444129,,0.055219102,,,0.002942726,-0.033637308,0.004914526,,0.056102552,0.06927564,0.039862246,-0.053126397,0.020468039,0.025671797,-0.16164827,-0.040515242,,0.024669593,,0.099147593,,-0.003304152,0.033788101,0.026491772,-0.077286965,-0.024121219,,0.01075571,0.025875478,,,,0.039607171,0.001479676,-0.000378977,-0.021052916,0.003556702,,,0.193635813,0.102146514,0.251495799,,0.172078455,0.050724582,0.034099678,0.02736992,0.033420915,-0.01117445,-0.092369579,-0.031692205,0.10606934,,0.053055111,0.057000295,,0.037670107,0.046808468,0.092580322,0.076442786,0.015584018,,0.009439614,-0.17663654,0.039883614,0.065234826,,-0.000744385,,,,0.044448103,-0.013124595,0.02845588,0.001914003,-0.00622613,,0.014159011,,,,0.023886356,,-0.009452549,0.028396723,0.001117371,,0.073104072,4.87E-05,0.018234334,0.001632639,0.006834603,,0.058066241,-0.008896544,0.088794468,,,,,,-0.01966271,,-0.024016341,0.13944192,0.192832119,-0.025350537,0.004406178,-0.0036929,-0.023062856,,-0.020898028,-0.013815518,0.038749779,-0.006252233,0.004238815,0.048976344,-0.016282356,0.009804535,0.022453904,0.159010233,,0.012955451,0.004845212,,-0.015346245,0.015930499,0.108160322,,0.121881602,,-0.024409164,,-0.019515995,0.03587309,0.335652595,0.393539872,0.051899937,-0.00461987,-0.015881152
ADFL,-0.016994139,-0.00479389,0.149320816,,0.038435042,,0.102786844,,0.127344568,,0.04619032,,,,0.026193549,,0.026345117,,0.150834085,,,-0.035236793,,0.084242915,,-0.009653456,0.380868377,-0.008481215,,0.026279007,,,,,,,,,,,0.055588152,-0.010957088,0.034689042,0.004755435,-0.023712937,,,,,,0.047292159,-0.024797446,-0.217965663,0.028963345,,,,,,,,,,-0.003957123,,,,,0.034100219,,,,,,-0.031838246,0.013780888,,0.038765254,0.106118397,0.017520471,,,0.221469321,,,0.077784322,,,,,,,0.047763033,-0.362333983,,0.059921561,,,,,,0.022618883,-0.001978705,,,,,,0.007999292,,,-0.028462801,-0.032446629,,,,,,,0.00363869,,,0.122529078,-0.015776896,,,,,,,,0.02285111,-0.001628495,-0.00270982,,,-0.026282924,-0.015136113,,0.032640989,0.133852092,,0.108106385,,-0.02093093,,-0.03269058,0.139331805,0.006033903,,,,0.141356097,-0.003665915,,,,,,0.027724453,,-0.049829877,0.003576321,,,,-0.023400978,0.060247318
ADLL,-0.135569095,0.102390497,-0.05966386,0.271304424,0.19947925,-0.028692208,-0.023774557,-0.035639576,0.327080568,0.433933358,0.545862011,-0.004135548,0.089395283,0.044413565,0.266551526,,0.064680772,0.027992213,0.158024152,0.110545293,0.056786328,,0.031147677,0.035028104,0.104350057,0.136276657,0.096874285,0.096401616,0.167153189,0.028422384,0.027996159,,-0.023096612,0.013071731,-0.008355271,-0.024614279,-0.022566127,0.025484728,0.087658413,,-0.014232096,-0.081486187,,,0.024852924,-0.024282439,-0.000855209,-0.016224659,-0.035274988,-0.035792821,0.037879833,0.008661717,0.022260709,0.055450713,0.01480602,-0.031965275,,0.041473601,0.155437636,,-0.014772725,0.087866048,0.046345896,0.074247828,,0.010231474,0.008859232,0.029447592,-0.000351082,0.01068195,-0.006016827,0.002185102,0.022188346,0.064704912,-0.028933539,0.023740654,0.003991036,-0.086946879,-0.009557735,-0.045942084,0.228672861,0.00534389,-0.016995678,,0.312887849,0.018221268,0.034074744,0.149000378,0.042751454,,0.177915385,0.128125985,0.049489577,0.246628825,0.024336361,-0.037184985,-0.037874824,0.099068996,0.030105403,-0.0649381,-0.092176672,0.018031707,-0.043324037,-0.048746582,,0.088560771,-0.002473373,,-0.010143412,0.019287009,-0.036062067,-0.016327698,-0.007531549,0.036611105,0.048503562,0.276223402,,0.168130747,0.001398379,0.01167706,0.039971689,0.037074031,0.022795683,-0.019367468,0.04953732,0.054531721,,-0.158246891,,0.005430558,0.023989836,-0.000757041,0.044574894,0.084973216,-0.019218873,0.008090568,0.035240723,0.009691665,0.02576443,0.057091512,,0.025005375,-0.004441049,0.064776313,-0.019084394,-0.066190864,0.01285388,0.036176117,0.022715997,,0.043139092,0.022787776,0.131634877,-0.118541896,,,,,-0.003473409,0.185044291,,0.10790365,0.00020939,0.1437592,-0.10277502,0.020144752,-0.042759741,0.041538024
ADLR,,-0.004710355,0.020146937,0.258941583,0.383452482,0.075811415,-0.010417842,0.037569498,0.063439411,0.072115958,0.04355749,-0.060877914,0.038034363,0.021633804,,0.317439965,0.008530096,0.025507781,0.109376363,0.17007118,-0.05584062,-0.029857409,-0.009489068,0.042234035,0.075537178,0.018639502,0.108464603,0.04169543,-0.027756158,-0.031829474,0.012351271,,0.210132642,0.136418704,0.014234831,0.147256135,0.007941641,0.032043397,0.01484237,0.012423945,-0.07684869,0.013615731,0.23233164,,-0.233075824,0.037188238,,-0.011514535,,-0.008306079,0.006466781,0.012011075,-0.243167512,0.034714247,-0.015570741,0.160528655,,,0.085983283,,-0.006441925,-0.016900284,0.055212278,0.077923294,0.741319669,,0.166826866,,-0.020569286,-0.048337154,-0.016508075,,0.124253249,-0.005583652,-0.251631259,-0.021114027,-0.031839144,-0.031991013,-0.022518722,0.141665448,,-0.07094065,-0.040467916,0.113579662,0.495876513,0.020315459,-0.004369342,0.01690443,0.073864994,0.10303924,0.086242143,0.031322988,0.061839912,0.173878365,-0.046829193,0.028501423,,-0.067818381,,-0.157409123,0.023316597,-0.142025803,-0.015622959,0.006308372,0.074316375,0.220177158,,,0.015628618,0.011216789,,0.181808937,0.028609391,,-0.340289238,0.067949114,0.149895338,-0.038349777,0.033972074,0.020068456,0.346553282,0.015391364,0.004953491,0.070863588,,0.107450852,,,,-0.061484168,,-0.118978342,0.012353964,0.012998068,-0.022342713,0.035218662,0.059955252,0.139279394,0.044334275,-0.036957696,,0.029209304,0.157444526,0.075688271,-0.038408351,0.078032619,-0.101135523,0.007808129,0.051831269,,0.07474879,-0.000793444,-0.058505389,,0.071104802,0.078177516,0.091535525,,0.079064919,0.072350147,5.22E-05,0.052924227,-0.001635765,0.164051717,0.130104287,-0.043839057,0.139910882,-0.024437373
AFDL,-0.081560317,0.001084944,0.121452481,0.024847009,0.088358661,0.224150087,0.210311791,-0.025914761,0.086578992,-0.020216901,0.069587768,0.122373947,0.094600609,-0.055262744,-0.017701784,0.029394621,-0.007515262,,0.06956618,,,-0.06817716,0.006559202,-0.037162846,0.214891765,0.060160152,0.05130143,,,-0.044776122,,,0.015802553,0.040355045,-0.012134758,-0.105684151,-0.051936746,0.017379793,,,0.076069746,-0.000962233,0.000664766,,,-0.040991457,,0.022693824,,0.104097941,-0.014955093,0.066081615,0.049303071,-0.032723039,-0.052904751,0.003151005,,0.035661703,,,0.012655884,-0.000622585,0.107318846,0.03925323,0.055066716,-0.013265513,-0.012641379,-0.004207389,-0.007517475,0.017026913,,,0.008780388,-0.005253873,-0.026571141,0.001619938,-0.003809758,-0.013238066,0.025878056,0.00616111,0.047012352,0.243635586,0.265328409,-0.064562865,0.111634743,-0.006174156,-0.01247961,0.162680797,0.188028948,,-0.006469632,-0.018747698,0.006023223,0.004349937,-0.048253806,-0.021696758,,,,-0.009113468,,0.015462572,-0.004889936,0.005368616,0.166505319,0.066946473,-0.013452806,-0.019488509,0.036361262,-0.049930757,,0.049191334,0.010905965,0.11478223,0.05906924,0.007051651,0.021963969,-0.020415064,0.016648373,0.057691962,-0.107158038,0.087776761,0.092890025,0.009074606,,-0.013393441,,,,,,0.009094486,-0.021447181,0.010979465,-0.009514905,-0.004397988,0.036089226,0.000270051,,0.044714582,-0.05013596,0.0042202,0.002419548,-0.006113821,0.00454291,-0.078903969,0.055304409,0.133335768,0.047813501,,0.061925737,0.037387726,,0.023898355,-0.005387596,0.041208279,,0.068828565,-0.005077799,-0.018569172,,0.129946172,-0.020134452,0.409470632,0.084942126,,0.061764646,-0.012439656
AFDR,-0.022058975,0.027803042,0.135325811,0.028710166,0.012697012,0.109442961,0.345525545,-0.000409105,0.008952676,,0.035651085,,0.163692246,0.355385449,0.02067534,0.028100159,-0.012748434,0.078868166,0.049876304,,-0.000930718,-0.099327669,0.014706053,-0.018348114,0.173951638,0.036356714,0.178527693,-0.045869619,,0.008536961,,,-0.019660543,0.055646477,-0.015110071,-0.133371108,0.003651743,0.030322164,,0.05896467,0.028396726,-0.01048282,-0.025950871,,0.035041249,0.014442484,,,,,0.00939569,0.097055993,0.020705733,-0.014073803,-0.022298357,-0.012732096,,0.023748272,,,-0.01320658,-0.080855336,0.040221786,-0.008110064,-0.006738054,-0.023478007,,0.098325537,-0.0376057,0.060058226,-0.056395483,,0.004865659,-0.000863944,0.001702939,-0.034763934,,-0.103851401,-0.002136995,0.017369997,0.008593368,0.012717813,0.244174618,,-0.259235194,0.179152274,0.015435299,0.173388259,,,-0.057298647,0.083259237,-0.000164451,0.039762598,0.027934227,-0.024035389,,-0.093164103,-0.040935535,-0.025065046,,0.041498785,,-0.021243577,,0.092190323,-0.015187076,0.013706061,,-0.000408957,,0.065018608,0.026941294,,-0.014271742,-0.0258278,-0.051501726,0.012551718,0.004647517,0.009038507,0.031139174,0.002618682,0.098941907,,,,,,,0.067441599,0.012724909,-0.090027926,-0.038062622,,-0.050112052,0.012642148,0.023236324,-0.038776557,,-0.049786797,-0.090024545,0.0452248,-0.018023939,0.035146896,0.021843645,-0.034397999,0.103660879,0.082913722,0.027406159,,0.019225023,0.015127139,,0.017028124,0.041499165,,,0.235064785,-0.019286496,,,0.079964573,-0.006582632,0.014739794,0.199242875,,0.063695506,-0.043209727
AQR,0.023150698,0.196769269,0.061854086,-0.020754268,0.048944792,0.046046343,0.0691874,0.710528229,0.050727393,0.041866211,-0.010846622,0.039957437,-0.005311599,0.032801334,0.001630064,0.023756173,0.048608041,0.013767411,-0.018759885,0.055531061,0.151849779,0.188097755,0.146503266,0.005174125,0.04422475,0.013621126,-0.002192884,0.017799479,0.102036036,-0.019149649,0.009664589,,0.048758546,0.022948715,0.010173119,0.043459212,0.20682571,0.004150017,0.027744094,0.014670784,-0.014370769,0.019143448,-0.008288377,-0.001431227,,,0.048970487,-0.026875078,,-0.035595848,-0.003709761,5.30E-05,-0.085854138,0.012810987,0.00393879,0.025757019,,0.031049862,0.006636286,-0.086279435,0.007040292,-0.008344476,0.020421481,0.001547404,-0.031186591,-0.000589203,0.011366258,0.002072739,0.226503716,0.140619207,0.120148621,-0.032934806,0.058143792,0.148706623,-0.023078797,-0.006792675,0.15610122,0.045054232,0.12900407,0.225991201,-0.016937419,-0.005805857,-0.01119439,,-0.015450601,0.049644449,0.069153413,0.003336797,0.023129764,-0.029017442,0.062328061,0.108785564,0.0428307,0.078219495,0.279470854,-0.01572309,0.020145623,0.006293729,,-0.022303963,-0.01646811,-0.001358684,0.034997301,0.035499887,0.063775916,0.029259813,0.078261005,0.394469194,0.058488785,0.069299088,,0.032018976,0.005476342,0.026874173,0.00946234,-0.003622892,0.026925165,0.00239001,0.034094034,0.226190905,-0.019216495,-0.028800387,0.028834203,0.047521505,0.056725687,-0.015317929,-0.018758354,0.005815035,0.069439353,0.106227066,,0.069833452,0.085166727,0.017610333,0.040855781,0.011607931,0.021108451,0.012610195,0.007957067,0.061646986,0.075240972,0.071360879,0.140776573,0.041534234,0.069215559,0.035843597,0.025439357,0.027060605,0.019706646,-0.011516002,0.006640888,0.002174544,0.021079959,0.094207934,0.075687096,0.144589997,-0.02476236,-0.040173471,0.011145785,-0.023045476,0.084140684,-0.019878211,0.114877682,0.02920871,0.027545377,0.024096665,0.026016765,0.066434848
ASEL,0.00718315,0.001343853,-0.479748193,-0.092306856,0.044657769,0.121776839,,0.032501618,0.173262922,0.275503833,0.202250838,0.079467694,0.208043024,-0.04757251,0.047092634,0.01644808,0.040107386,0.103328885,0.008674489,,0.025527382,0.084453414,0.004807227,0.165396198,0.019880959,0.223127177,0.102266098,0.082689114,0.518019892,0.003803256,,,-0.036254781,0.001605711,0.017760177,0.005556034,-0.001632846,-0.024636722,0.050877307,,-0.028182871,0.001916936,,-0.053012125,-0.208794802,-0.000331639,-0.172747738,0.056910795,-0.005013071,0.122961966,0.033635122,-0.020570367,0.023763019,-0.015957186,0.048817188,-0.046872366,,-0.01506251,,,-0.02300507,0.012146001,0.044426442,-0.01143804,0.039093547,0.002732719,0.00177897,-0.033253175,-0.000243632,-0.010675115,,0.051512408,-0.010092264,0.010268819,0.089750484,0.017510768,-0.037096032,-0.01236505,0.039166124,-0.003686891,0.045667261,0.020895739,0.064630006,0.178210397,0.005904005,0.268148189,0.057384673,-0.014876598,0.100603662,,0.219337618,0.059092541,0.053563966,0.083077377,-0.090162744,0.03541746,0.001158225,,0.032754087,0.049284978,-0.072201681,-0.0362938,-0.022556924,0.046035263,0.081537836,0.019053215,0.295643162,0.205842608,0.071015608,0.044317729,0.038941547,-0.034926117,0.008146831,-0.00018202,-0.066506024,,0.054811915,-0.060244956,0.014457351,0.133037489,0.036360174,0.009679531,-0.014353713,0.017214091,0.046025742,-0.061906819,0.032522656,0.042457655,,0.005812949,-0.044595154,0.053833631,-0.010045365,-0.018254174,0.000491919,-0.000399612,0.03176256,0.138452132,-0.059904097,0.026460624,0.002043642,0.080066122,0.029463981,0.063588169,0.114956043,-0.026729632,0.035651408,0.068471744,0.021557345,-0.231900388,0.109323847,0.003595913,-0.052220035,0.078163281,0.113842185,0.030800789,,-0.112632811,0.047788859,-0.00407559,,0.125397592,0.072639785,-0.087435772,0.077067704,,0.026234155,0.01538193
ASER,-0.028077341,-0.015081042,-0.029557051,0.196432946,0.191139943,0.010309352,,0.009862941,0.07980683,0.417973036,-0.021217875,-0.032803747,0.112648047,0.243872968,0.065604272,0.262000748,0.009609963,0.281791143,0.08661209,,0.070414127,-0.003746406,0.019141062,0.11016629,0.194213761,0.076323197,0.080789345,0.230248584,,0.104653599,0.016958921,,-0.048886908,0.085069886,-0.026272072,-0.048964336,0.005866923,0.011493428,0.096080621,0.011358051,-0.057618749,0.031671924,-0.005920179,-0.105806746,0.033692601,0.090579587,,0.045297442,,0.015870339,0.077910703,0.09193817,-0.04591725,0.010806592,0.047277054,0.02600642,,0.064101879,,,0.033956002,0.045984547,-0.041535866,-0.015475573,0.447245553,-0.020294063,-0.028106303,-0.059873081,-0.040786391,0.004781073,,,0.008581267,-0.042052557,0.017738512,-0.041998634,0.042474804,0.057536244,0.016499558,0.018129089,-0.009263748,-0.009555212,0.09304794,,0.125088435,0.017227225,0.083900397,0.03355416,0.068995904,0.025827563,0.063210588,0.59387448,-0.004704595,0.130458121,-0.10146334,0.223496429,,-0.035892215,,-0.010607921,-0.013502431,0.000352466,-0.048064486,0.04046848,0.156050437,0.139832962,,-0.027452551,-0.05637959,0.001679074,,0.200643729,-0.030133071,-0.058820432,0.245617118,0.256873468,0.011206644,-0.016054399,0.048256397,0.061061231,,0.045228432,0.075638482,0.01400773,,,0.133444565,,,0.022014902,,-0.025682959,-0.016688018,-0.002950679,0.007868243,0.019112686,0.205604039,0.26294388,0.05337889,0.082395508,-0.001447186,0.039836695,0.056291125,0.066576814,0.227499983,0.046229254,0.069116408,0.058134513,0.146827913,0.020021163,0.178215868,-0.026777778,-0.11283008,0.001674578,0.176751705,0.041251168,-0.025043827,-0.05005425,-0.016141744,0.00168374,,0.152983406,0.037365253,0.055406067,0.11119291,0.122654148,0.182278505,-0.019779212
ASGL,0.055508149,,0.031450759,0.073660642,0.229967717,0.023483867,0.035653352,0.10431392,0.017098767,-0.023266554,0.378251186,,0.199409226,-0.136994284,0.208799187,0.290097685,0.023679421,0.019677237,0.074375863,,,0.025618282,0.017981621,0.016574555,0.126302508,0.172701194,0.08677521,0.040323699,0.016230344,0.089521355,-0.017804852,0.161401158,-0.067522731,0.035221378,0.053646126,-0.008943142,0.035297169,0.037676686,-0.002086155,-0.152668906,0.002682516,-0.024705572,0.156041013,0.131369663,0.013933809,-0.011200449,0.008541183,0.131705406,,,0.136595673,-0.033697617,-0.000637891,0.00790269,0.024196338,0.034709067,,-0.041811638,-0.009098259,,0.072215363,0.018319997,-0.010649692,0.014588816,0.016315981,0.022243472,-0.054148468,-0.084449127,0.007386278,0.032891946,0.028450225,,0.011700815,0.075752311,0.016442965,,-0.054553997,-0.069731407,0.136979546,-0.010338445,0.090892962,0.027031011,0.052738624,-0.029117975,0.062829297,0.268651423,0.032203911,0.005951607,0.009241092,,0.026117272,0.019552447,0.176934684,0.078116889,0.041774797,-0.015140419,-0.026502706,-0.039592521,-0.003723228,0.038164418,0.011731826,0.092949289,-0.029294225,-0.049292816,0.117819239,0.01290751,-0.000877119,,-0.02992748,0.015864153,,0.037167634,-0.019311734,0.217672578,,-0.021627354,-0.021039734,0.350371442,-0.007893177,0.054673043,-0.0594435,-0.006626409,-0.030265039,0.08053545,,0.013871001,,-0.079911336,,-0.047603348,0.016369003,0.04754465,0.036844931,,-0.011531578,-0.006218664,-0.074856699,-0.093123545,0.132475256,0.015432599,0.075695736,-0.015661407,0.097029625,0.00761726,0.029108398,0.018337435,0.044450545,0.025182552,0.023573323,,0.03970734,-0.013629661,0.015175708,-0.004981743,0.171204398,-0.090053811,-0.041660109,0.053034845,0.013247622,0.030532154,0.062155225,0.030626137,-0.005750332,0.093683144,0.048538375,0.046656976,-0.000130132,-0.010093773
ASGR,0.066173717,0.05591927,0.153836661,,0.0729708,0.025648173,0.05165725,0.001293171,0.062759202,0.298967913,0.158588224,0.422549991,0.056014659,-0.003324574,0.053191986,0.050490685,0.032362869,-0.012603075,0.078985985,-0.034796279,,0.263268758,-0.02730077,0.013349863,0.067803121,0.067977036,0.125472664,0.063421702,0.187155642,-0.009391883,-0.008546546,,-0.061827307,0.018770082,0.021231251,-0.014523811,-0.003731903,-0.00552689,-0.006757499,,0.053007202,0.005556949,0.151857433,-0.045789145,-0.101675138,,,-0.124468735,-0.016298529,0.025000903,0.064279717,0.046099356,-0.079046805,-0.006721468,-0.007633212,0.069540802,,-0.010406733,,-0.032824833,0.011121568,0.034322448,-0.010858641,0.008342931,,-0.013164367,-0.027940256,-0.009146084,-0.019670481,-0.008627693,,,0.020052643,0.004575886,-0.050472665,0.01107715,-0.002183353,-0.015789288,0.025010789,0.039449164,0.000287436,0.027146685,0.264884865,-0.045592996,,0.076008342,0.035556137,0.005076491,0.031124866,,0.07753949,0.043423284,0.032238144,0.24141793,-0.006989909,0.011175931,,-0.005137867,,-0.005809585,-0.0750834,0.02547703,-0.00755471,-0.011233998,0.075529953,0.002013654,-0.02214199,0.015353354,-0.050999419,-0.013054186,,0.047770204,-0.040249823,-0.234856348,-0.057102904,0.135214205,0.003907777,0.050714702,0.112367416,0.168615307,,0.039481246,0.049389543,0.031264508,,,,,,-0.059135225,-0.013831814,-0.024622081,0.010571597,0.049543129,-0.001885584,-0.008369047,0.025197883,-0.08067903,0.051400195,0.033628931,0.087691777,0.023938801,-0.021147147,0.045532147,0.022083495,0.047484465,-0.040305266,0.052148058,0.100633549,0.081188873,,0.015360247,0.095632471,0.059501793,0.018719475,-0.000876218,-0.103616161,,0.075906612,0.028354533,,0.069731637,0.002907178,0.046742455,0.108350688,,0.026304976,0.023798432
ASHL,0.090876369,0.000250513,0.002768758,0.05455686,0.082685905,0.008553889,0.005994565,-0.000204697,0.103547148,,0.116172061,0.027524256,0.317877109,0.070175421,0.044722483,0.025360053,0.022777628,0.025912127,-0.012970219,0.154890097,0.304839252,0.122298968,0.03408376,-0.003385849,0.086015293,0.123494437,0.030348604,0.065163295,-0.021488426,0.016101242,0.017257986,0.010043005,-0.02783979,-0.004846914,-0.041317494,0.028214879,-0.020473852,0.010191589,-0.000138493,,0.004961867,0.032006663,0.10350812,-0.000233045,0.055763166,,,0.005197332,,0.153034677,0.029598226,-0.013373899,-0.041679749,0.006745925,0.016154316,0.003256305,,0.01000615,0.074275556,,0.010178996,0.015532971,-0.002346587,0.024788107,0.08491212,,0.051046369,-0.003376329,0.003621493,0.022186353,0.03686507,0.158529471,0.065559621,0.005469046,-0.02170069,-0.01472531,0.040853287,-0.022954886,-0.036156248,-0.01196233,-0.070806254,0.161254231,0.082304866,-0.077252461,-0.087056818,0.095898738,0.038073716,0.035254875,0.093607921,,0.037339629,-0.038855746,0.019050051,0.080753619,-0.002764354,0.040619693,0.066309018,0.050396046,-0.022910347,0.028012771,-0.022683208,-0.017489714,0.03523682,-0.015090828,0.210407788,0.064864696,0.025622126,0.058823683,-0.038475891,0.050361099,,0.029459499,0.002862744,0.093876176,-0.053638435,0.025977859,-0.04198462,0.013684476,-0.020374079,0.002843756,0.01826689,-0.042159506,0.073399311,0.037673164,-0.018306474,,,-0.009400487,,0.151083865,0.013030575,0.033878557,-0.044240592,0.034392716,0.005924285,-0.012448289,-0.01300896,-0.004789376,-0.011861721,-0.006164347,0.045553881,0.046014123,0.05168632,0.121196214,0.099217712,0.062843352,0.01316072,0.029400997,0.028424799,,0.054851803,0.014987799,0.044392884,0.075895477,0.056235503,0.026407972,,0.044629946,0.00881114,0.147412703,-0.015915424,0.192299287,0.085628521,0.051483439,0.046958129,0.046951495,0.031272369,0.011927222
ASHR,,0.020061343,,-0.003963938,0.061309926,0.017894436,0.001068418,0.064115423,0.067186526,0.150916535,0.004103083,0.104420982,0.058612574,0.352674203,0.034406403,0.022535824,-0.002842548,0.004166952,0.015748592,-0.016172616,0.236796372,-0.053242541,0.025823421,0.061913179,0.163861874,0.113195323,0.134032663,0.048949958,0.167664061,0.277236493,,,0.018626715,-0.030480449,-0.002747275,-0.026808529,0.037263207,-0.011503142,0.027412449,-0.03295241,0.023708145,-0.002984768,-0.064294042,,,-0.060630302,,0.051810226,,0.159489484,0.041577909,-0.022711952,0.028554789,0.008597169,,-0.013819508,0.075622054,-0.007139829,0.050985303,,0.014309387,0.001404324,0.04549311,-0.005413809,0.039757779,0.148412688,-0.010427264,-0.013927297,-0.026251779,0.057064159,-0.054811917,,0.001711925,0.005836175,0.009282206,0.044764779,-0.020134964,0.060693772,0.021429341,-0.022594631,,-0.141629202,0.134199536,,0.120804678,0.068755861,0.312960902,0.140142858,0.101340107,0.116696922,0.005592688,,0.00736741,0.050321328,-0.061320735,0.090516065,,-0.024019361,,-0.041388982,0.002483985,-0.002757606,-0.035467818,0.015360156,0.164271736,0.062485278,0.043361208,0.100125495,-0.051673594,0.038133771,0.021363386,0.046732243,0.031874683,0.03399834,-0.079103701,0.08552615,-0.012451775,0.011236301,0.025984371,0.021569399,-0.021480922,0.003606236,0.237265483,0.022328233,-0.009978406,0.030732254,0.084117708,,,-0.02376637,-0.053039178,0.053494315,-0.028347434,0.00048124,-0.009644208,-0.018000686,0.002167341,0.041942863,0.019021618,0.016447465,0.151519757,0.061723663,0.020429575,0.037402556,0.067598026,0.042511511,0.315100747,0.046498107,0.170697815,,0.04868187,0.0049943,0.027042966,0.102371081,0.100071962,0.091587228,,0.085543078,0.047631066,,,0.0371919,-0.011249045,0.16487348,0.070623265,0.09348863,0.067911981,-0.003096718
